Transaction Type,Project Name,Status,Order Creation Date,Order Number,Process Group,ABT_Sch_Compl_Date,ABT_Act_Compl_Date,BD_Act_Compl_Date,Order Actual Sales No Freight,Order Est Weight Tons,Order Eng Manifest Total Tons,Order Actual Shipped Tons,Budget Hours,Actual Hours,Engineering Amt,Order Est Margin No Freight,Order Est Margin % No Freight,Order Actual Margin,Order Actual Margin %,Complexity,ECK_Date,ECK_Lead_Wks,Division,Region
BLDGMATL-CUSTOM-BLDR,INSULATED WALL PANEL QUOTE 9/1,CLOSED,2016-09-01,1602045201,,,,2016-09-14,26180,3.75,1.833,1.833,0,0,0,7999,30.55,13158.48,50.26,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,235501,CLOSED,2019-06-27,235501,,,,,1487,0,0.101,0.101,0,0,0,1487,100,358.05,22.07,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,237601,CLOSED,2020-01-13,237601,,,,,1276,0.117,0.101,0.101,0,0,0,195,15.28,248.09,19.44,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,ALBAUGH INC. (CRYSTAL FORM PLA,CLOSED,2015-08-27,218701,STJ,,,,368,0.75,0.0000125,0.0000125,0,0,0,22,5.98,22,5.98,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,ALLISON TRANSMISSION,CLOSED,2017-08-29,227501,BMD,,,,695,0.0025,0.04906,0.04906,0,0,0,104,14.96,104.25,13.11,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,ANDERSON BROS CORP. 08-17-16,CLOSED,2017-10-02,227901,MXC,,,,2772.82,1,0.52528125,0.52528125,0,0,0,222,8.01,472.07,15.62,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,ARIEL KD-1 EXPANSION,CLOSED,2019-09-24,236401,BMD,,,,2566.75,0,0.83954,0.83954,0,0,0,2567,100,693.27,25.36,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,BEATRICE RAFFERTY - SKYWEB,CLOSED,2019-12-11,237301,BMD,,,,3179,0,0.37247182,0.37247182,0,0,0,3179,100,1145.53,36.03,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,BEAVER LODGE ENBRIDGE SANDPIPE,CLOSED,2015-11-04,219401,BMD,,,,315,0.1185,0.072,0.072,0,0,0,15,4.76,300.05,50.01,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,BIRCHWOOD MANUFACTURING,CLOSED,2019-02-05,234001,,,,,3420,0,0.04906,0.04906,0,0,0,3420,100,873,23.1,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,BPL -17-20 BPL GARAGE,CLOSED,2017-08-01,227101,BMD,,,,5614.62,1.357,1.2626875,1.2626875,0,0,0,450,8.01,449.79,8.01,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,CENTREX LANDMARK 2/8/16,CLOSED,2016-03-15,220501,BMD,,,,48140.85,12.5,15.381486,15.381486,0,0,0,2319,4.82,2318.9,4.82,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,COIT ROOF,CLOSED,2019-04-22,234701,BMD,,,,1326.14,0.393,0.414652,0.414652,0,0,0,0,0,150,10.16,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,DENSO WAREHOUSE,CLOSED,2017-01-25,224301,BMD,,,,580,0.025,0.04906,0.04906,0,0,0,87,15,87,12.79,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,DISNEY SAFETY BLDG.,CLOSED,2015-03-17,217401,INS,,,,11210,2.546,2.5532,2.5532,0,0,0,725,6.47,725.08,6.47,Simple (<=100),,,VP,VSO
BLDGMATL-STD-BLDR,DOLLAR GENERAL - ANCHOR BOLTS,CLOSED,2015-10-02,219101,BMD,,,,472,0,0.02,0.02,0,0,0,472,100,220.4,36.86,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,FAITH LUTHERAN CHURCH,CLOSED,2015-07-22,218401,BMD,,,,1580,0.1,0.04906,0.04906,0,0,0,237,15,237,13.78,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,FREEDON SAUSAGE,CLOSED,2019-08-13,236001,BMD,,,,240.88,0,0.0708,0.0708,0,0,0,241,100,157.92,45.26,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,FRUIT PACKER SUPPLY R5 240X570,CLOSED,2019-05-06,234901,INS,,,,38266,0,9.97525,9.97525,0,0,0,0,0,-0.13,0,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,GO GRAPHIX,CLOSED,2017-01-18,224201,INS,,,,4695,0.0005,0.8436,0.8436,0,0,0,306,6.52,306.39,6.53,Simple (<=100),,,VP,VNO
BLDGMATL-STD-BLDR,GRAND CANYON RAILWAY 12/21/18,CLOSED,2019-11-05,236901,,,,,-2050.44,0,0,0,0,0,0,-2050,100,-2050.44,100,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,HABITAT RESTORE KENNER,CLOSED,2018-08-14,232201,INS,,,,2494.16,0.4255,0.4255,0.4255,0,0,0,161,6.46,162.11,6.5,Simple (<=100),,,VP,VSO
BLDGMATL-STD-BLDR,HARBOR FREIGHT TOOLS,CLOSED,2017-09-19,227701,BMD,,,,6600,0.0025,0.04906,0.04906,0,0,0,990,15,990,14.41,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,HAVERHILL: GUTTER PARTS,CLOSED,2018-07-17,1803577101,ANN,,,2018-07-23,8818,0.21,0.33662098,0.33662098,0,0,0,7487,84.91,4996.69,50.89,Simple (<=100),2018-07-17,,BUTLER,BEA
BLDGMATL-STD-BLDR,HAWMAN TRUCK SHOP 50X80X18,BOOKED,2020-02-25,237901,,,,,0,0,0,0,0,0,0,0,0,0,0,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,HELENA T ADDN - ANCHOR BOLTS,CLOSED,2017-09-07,227601,BMD,,,,172,0,0.01,0.01,0,0,0,172,100,78.56,36.37,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,JIM & JON KOESSL,CLOSED,2016-07-13,221801,INS,,,,9895.09,0.6,2.419065,2.419065,0,0,0,610,6.16,611.2,6.18,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,LIBERTY DOOR,CLOSED,2016-01-29,220101,,,,,1125.45,0,0.101,0.101,0,0,0,101,8.98,101.87,8.18,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,MASSANUTTEN  LAUNDRY FACILITY,CLOSED,2017-12-08,229001,BMD,,,,25342,8.859,8.397142,8.397142,0,0,0,2027,8,2027.22,8,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,NJNG ADDITION - ANCHOR BOLTS,CLOSED,2016-10-18,223101,BMD,,,,854.24,0,0.157672,0.157672,0,0,0,171,20.02,388.12,36.23,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,OH DOOR REFIT,CLOSED,2015-02-04,217101,BMD,,,,397,0.1,0.0634,0.0634,0,0,0,20,5.04,273,42.19,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,PACWEST BLDG #2,CLOSED,2015-08-14,218601,CA,,,,8645,1,1.6812815,1.6812815,0,0,0,546,6.32,546.26,6.32,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,PADILLA MASONRY BUILDING,CLOSED,2019-01-28,233901,,,,,7860,0,0.04906,0.04906,0,0,0,7860,100,1579,19.12,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,PEERLESS,CLOSED,2018-05-04,230901,BMD,,,,1980,0.025,0.04906,0.04906,0,0,0,297,15,297,13.62,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,PHILBRUN FT,CLOSED,2015-10-15,219201,INS,,,,8285,1.5,2.01056,2.01056,0,0,0,538,6.49,538.11,6.49,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,PILLAR USA,CLOSED,2015-12-09,219701,BMD,,,,75.31,0.0125,0.004,0.004,0,0,0,5,6.67,26.75,27.21,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,PINE AND PALM,CLOSED,2019-07-09,235601,BMD,,,,596,0,0.23,0.23,0,0,0,596,100,236,33.15,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,PUEBLO TOYOTA,CLOSED,2014-12-23,216801,,,,,4980,0,0.04906,0.04906,0,0,0,747,15,747,14.12,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,ROSEWOOD ANCHOR BOLTS,CLOSED,2019-03-11,234301,BMD,,,,381.44,0,0.1472,0.1472,0,0,0,381,100,246.8,44.76,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,SOTEK / BELRIX - ANCHOR BOLTS,CLOSED,2015-07-08,218301,BMD,,,,607.85,0.185,0.2449,0.2449,0,0,0,232,38.16,258.05,34.69,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,STANLEY TERMINAL,CLOSED,2015-05-08,217801,BMD,,,,3031,0.6145,0.5675,0.5675,0,0,0,151,4.98,385.04,11.79,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,STEUBEN FOODS - ANCHOR BOLTS,CLOSED,2015-12-01,219601,BMD,,,,185,0,0.0575,0.0575,0,0,0,186,100,37,20,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,STEVE FREY,CLOSED,2018-04-17,230601,INS,,,,2334,0.0005,0.4104875,0.4104875,0,0,0,136,5.83,136.24,5.84,Simple (<=100),,,VP,VWE
BLDGMATL-STD-BLDR,TAPE ORDER,CLOSED,2018-08-23,232301,BMD,,,,482.4,0.025,0.016,0.016,0,0,0,48,9.96,48,9.95,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,TESLA PHASE II 1600174101,CLOSED,2016-05-13,221101,,,,,15320.1,0,0.505,0.505,0,0,0,2298,15,2298,14.66,Simple (<=100),,,BUTLER,BWE
BLDGMATL-STD-BLDR,TRINITY,CLOSED,2018-02-22,230001,,,,,6332.48,0,0.45486,0.45486,0,0,0,730,11.53,1566.42,24.74,Simple (<=100),,,BUTLER,BCT
BLDGMATL-STD-BLDR,TRIPLE M,CLOSED,2019-10-03,236501,BMD,,,,2205,0.594,0.48636,0.48636,0,0,0,0,0,250.71,10.21,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,VERSATEX,CLOSED,2017-07-26,227001,BMD,,,,493.64,0.05,0.09198,0.09198,0,0,0,11,2.23,511.65,68.8,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,WONDER,CLOSED,2016-11-14,223501,,,,,57516.58,0,2.862,2.862,0,0,0,57517,100,9903.97,17.02,Simple (<=100),,,BUTLER,BEA
BLDGMATL-STD-BLDR,ZIWA.RIO GRANDE HAULING,CLOSED,2018-09-04,232401,INS,,,,4704.97,0.9395,0.93665,0.93665,0,0,0,307,6.52,307.56,6.54,Simple (<=100),,,VP,VSO
BLDGMATL-STD-BLDR CAN,LAND & SKY GRAINS,CLOSED,2017-02-06,224401,BMD,,,,0.76,0,6.51085,6.51085,0,0,0,1,100,-15656.03,-461.73,Simple (<=100),,,BUTLER,BCT
CSS/CONV-CUSTOM-BLDR,100 BALTIMORE EXPANSION,CLOSED,2019-03-29,1900718601,CSS,,,2019-05-28,270603,101.0755,100.55804303,100.55804303,751,847.75,95098,44758,16.54,54885.7,19.76,High Complex (400-800),2019-05-28,8.57142857142857,BUTLER,BEA
CSS/CONV-CUSTOM-BLDR,2014-082 HALCON OFFICE,CLOSED,2014-09-25,1401872501,EVA,,,2014-12-10,379023.34,138.952,106.13937984,106.13937984,133.2,544.4,24678.08,70537,18.61,58137.21,15.07,Moderate (100-200),2014-12-03,,VP,VNO
CSS/CONV-CUSTOM-BLDR,4 G'S STORAGE LLC,CLOSED,2018-03-06,1802427701,CSS,,,2018-05-25,649417.99,197.8925,68.235565115,68.235565115,913,2004.75,137642,63948,9.85,293186.24,41.3,Very High Complex (>800),2018-05-24,,BUTLER,BWE
CSS/CONV-CUSTOM-BLDR,50 COGWHEEL ADDITION,CLOSED,2015-05-21,1500889901,IN,2015-07-17,2015-07-17,2015-08-26,402148,127.1395,103.097008605,103.097008605,451,925.15,53507,115091,28.62,136507.78,33.29,High Complex (400-800),2015-08-25,,BUTLER,BEA
CSS/CONV-CUSTOM-BLDR,6100 PONTCHATRAIN BLDG.,CLOSED,2017-10-10,1702440401,AR,,,2017-12-14,160040,46.2155,38.912163,38.912163,567,520.9,64285,29936,18.71,31248.1,19.45,High Complex (400-800),2017-12-13,,VP,VSO
CSS/CONV-CUSTOM-BLDR,ACS JOTS EXPANSION 9/9/16,CLOSED,2016-09-09,1602105201,CSS,,,2017-06-15,193608,105.7265,108.148940035,108.148940035,615,1073,15545,27477,14.19,-70937.82,-35.69,High Complex (400-800),2017-06-14,,BUTLER,BCT
